"pot","tacc","cacc","soil","tsite","csite","tsp","csp","spdiv","accdiv","cshoot","tshoot","shoots"
"P092","Des-F","Nar-P","P","F","P","Des","Nar",2,2,0.584933333333334,0.456283333333333,1.04121666666667
"P093","Des-F","Phl-F","P","F","F","Des","Phl",2,2,0.224033333333334,0.789483333333334,1.01351666666667
"P094","Des-F","Phl-P","P","F","P","Des","Phl",2,2,0.323683333333334,0.719683333333333,1.04336666666667
"P095","Des-F","Poa-F","P","F","F","Des","Poa",2,2,0.234633333333333,0.624533333333333,0.859166666666666
"P096","Des-F","Poa-P","P","F","P","Des","Poa",2,2,0.502483333333333,0.516733333333333,1.01921666666667
"P097","Des-P","Des-F","P","P","F","Des","Des",1,2,0.610633333333333,0.1426,0.753233333333333
"P098","Des-P","Des-P","P","P","P","Des","Des",1,1,0.341133333333333,0.432333333333333,0.773466666666666
"P099","Des-P","Nar-F","P","P","F","Des","Nar",2,2,0.552383333333333,0.511533333333334,1.06391666666667
"P100","Des-P","Nar-P","P","P","P","Des","Nar",2,2,0.360683333333333,0.553783333333333,0.914466666666666
"P101","Des-P","Phl-F","P","P","F","Des","Phl",2,2,0.217233333333333,1.03643333333333,1.25366666666666
"P102","Des-P","Phl-P","P","P","P","Des","Phl",2,2,0.0576,0.579833333333333,0.637433333333333
"P103","Des-P","Poa-F","P","P","F","Des","Poa",2,2,0.252233333333333,0.690883333333333,0.943116666666666
"P104","Des-P","Poa-P","P","P","P","Des","Poa",2,2,0.267833333333333,0.487683333333333,0.755516666666666
"P105","Nar-F","Des-F","P","F","F","Nar","Des",2,2,0.434283333333333,0.355033333333333,0.789316666666666
"P106","Nar-F","Des-P","P","F","P","Nar","Des",2,2,0.428183333333333,0.256433333333334,0.684616666666667
"P107","Nar-F","Nar-F","P","F","F","Nar","Nar",1,1,0.374633333333333,0.366983333333333,0.741616666666666
"P108","Nar-F","Nar-P","P","F","P","Nar","Nar",1,2,0.456683333333333,0.348433333333333,0.805116666666666
"P109","Nar-F","Phl-F","P","F","F","Nar","Phl",2,2,0.0898,0.615183333333333,0.704983333333333
"P110","Nar-F","Phl-P","P","F","P","Nar","Phl",2,2,0.228533333333334,0.679783333333334,0.908316666666668
"P111","Nar-F","Poa-F","P","F","F","Nar","Poa",2,2,0.235683333333333,0.592433333333333,0.828116666666666
"P112","Nar-F","Poa-P","P","F","P","Nar","Poa",2,2,0.334133333333334,0.561483333333333,0.895616666666667
"P113","Nar-P","Des-F","P","P","F","Nar","Des",2,2,0.2001,0.526583333333334,0.726683333333334
"P114","Nar-P","Des-P","P","P","P","Nar","Des",2,2,0.602983333333333,0.391483333333334,0.994466666666667
"P115","Nar-P","Nar-F","P","P","F","Nar","Nar",1,2,0.296833333333334,0.689483333333333,0.986316666666667
"P116","Nar-P","Nar-P","P","P","P","Nar","Nar",1,1,0.488233333333333,0.454883333333333,0.943116666666666
"P117","Nar-P","Phl-F","P","P","F","Nar","Phl",2,2,0.245283333333333,0.833633333333333,1.07891666666667
"P118","Nar-P","Phl-P","P","P","P","Nar","Phl",2,2,0.226733333333333,0.837583333333333,1.06431666666667
"P119","Nar-P","Poa-F","P","P","F","Nar","Poa",2,2,0.253383333333333,0.605483333333333,0.858866666666666
"P120","Nar-P","Poa-P","P","P","P","Nar","Poa",2,2,0.771383333333333,0.691783333333333,1.46316666666667
"P121","Phl-F","Des-F","P","F","F","Phl","Des",2,2,0.865233333333333,0.212183333333333,1.07741666666667
