"pot","tacc","cacc","soil","tsite","csite","tsp","csp","spdiv","accdiv","roots"
"P099","Des-P","Nar-F","P","P","F","Des","Nar",2,2,1.44275
"P100","Des-P","Nar-P","P","P","P","Des","Nar",2,2,4.35475
"P101","Des-P","Phl-F","P","P","F","Des","Phl",2,2,1.32035
"P102","Des-P","Phl-P","P","P","P","Des","Phl",2,2,1.5797
"P103","Des-P","Poa-F","P","P","F","Des","Poa",2,2,1.7452
"P104","Des-P","Poa-P","P","P","P","Des","Poa",2,2,2.10655
"P105","Nar-F","Des-F","P","F","F","Nar","Des",2,2,1.76935
"P106","Nar-F","Des-P","P","F","P","Nar","Des",2,2,1.28645
"P107","Nar-F","Nar-F","P","F","F","Nar","Nar",1,1,1.61715
"P108","Nar-F","Nar-P","P","F","P","Nar","Nar",1,2,1.69665
"P109","Nar-F","Phl-F","P","F","F","Nar","Phl",2,2,1.15365
"P110","Nar-F","Phl-P","P","F","P","Nar","Phl",2,2,2.6326
"P111","Nar-F","Poa-F","P","F","F","Nar","Poa",2,2,1.52605
"P112","Nar-F","Poa-P","P","F","P","Nar","Poa",2,2,1.83585
"P113","Nar-P","Des-F","P","P","F","Nar","Des",2,2,2.0858
"P114","Nar-P","Des-P","P","P","P","Nar","Des",2,2,2.8991
"P115","Nar-P","Nar-F","P","P","F","Nar","Nar",1,2,1.86425
"P116","Nar-P","Nar-P","P","P","P","Nar","Nar",1,1,1.748
"P117","Nar-P","Phl-F","P","P","F","Nar","Phl",2,2,1.5665
"P118","Nar-P","Phl-P","P","P","P","Nar","Phl",2,2,1.7501
"P119","Nar-P","Poa-F","P","P","F","Nar","Poa",2,2,1.33705
"P120","Nar-P","Poa-P","P","P","P","Nar","Poa",2,2,3.92295
"P121","Phl-F","Des-F","P","F","F","Phl","Des",2,2,3.1656
"P122","Phl-F","Des-P","P","F","P","Phl","Des",2,2,1.40985
"P123","Phl-F","Nar-F","P","F","F","Phl","Nar",2,2,1.18975
"P124","Phl-F","Nar-P","P","F","P","Phl","Nar",2,2,1.48115
"P125","Phl-F","Phl-F","P","F","F","Phl","Phl",1,1,0.1926
"P126","Phl-F","Phl-P","P","F","P","Phl","Phl",1,2,0.2607
"P127","Phl-F","Poa-F","P","F","F","Phl","Poa",2,2,2.05745
"P128","Phl-F","Poa-P","P","F","P","Phl","Poa",2,2,1.7888
"P129","Phl-P","Des-F","P","P","F","Phl","Des",2,2,1.607
"P130","Phl-P","Des-P","P","P","P","Phl","Des",2,2,1.0096
"P131","Phl-P","Nar-F","P","P","F","Phl","Nar",2,2,1.9315
"P132","Phl-P","Nar-P","P","P","P","Phl","Nar",2,2,1.49175
"P133","Phl-P","Phl-F","P","P","F","Phl","Phl",1,2,0.54235
"P134","Phl-P","Phl-P","P","P","P","Phl","Phl",1,1,2.31555
"P135","Phl-P","Poa-F","P","P","F","Phl","Poa",2,2,2.29585
"P136","Phl-P","Poa-P","P","P","P","Phl","Poa",2,2,2.01975
"P137","Poa-F","Des-F","P","F","F","Poa","Des",2,2,1.83645
"P138","Poa-F","Des-P","P","F","P","Poa","Des",2,2,1.3793
"P139","Poa-F","Nar-F","P","F","F","Poa","Nar",2,2,1.1031
"P140","Poa-F","Nar-P","P","F","P","Poa","Nar",2,2,3.03545
"P141","Poa-F","Phl-F","P","F","F","Poa","Phl",2,2,0.6619
"P142","Poa-F","Phl-P","P","F","P","Poa","Phl",2,2,1.08495
"P143","Poa-F","Poa-F","P","F","F","Poa","Poa",1,1,1.59795
"P144","Poa-F","Poa-P","P","F","P","Poa","Poa",1,2,4.14745
"P145","Poa-P","Des-F","P","P","F","Poa","Des",2,2,2.29445
"P146","Poa-P","Des-P","P","P","P","Poa","Des",2,2,1.93215
"P147","Poa-P","Nar-F","P","P","F","Poa","Nar",2,2,2.06615
"P148","Poa-P","Nar-P","P","P","P","Poa","Nar",2,2,2.67175
"P149","Poa-P","Phl-F","P","P","F","Poa","Phl",2,2,2.18605
"P150","Poa-P","Phl-P","P","P","P","Poa","Phl",2,2,1.27995
"P151","Poa-P","Poa-F","P","P","F","Poa","Poa",1,2,1.40175
"P152","Poa-P","Poa-P","P","P","P","Poa","Poa",1,1,1.46535
"P153","Des-F","Des-F","P","F","F","Des","Des",1,1,2.7342
"P154","Des-P","Des-P","P","P","P","Des","Des",1,1,2.10525
"P155","Nar-F","Nar-F","P","F","F","Nar","Nar",1,1,1.52315
"P156","Nar-P","Nar-P","P","P","P","Nar","Nar",1,1,1.8759
"P157","Phl-F","Phl-F","P","F","F","Phl","Phl",1,1,0.3171
"P158","Phl-P","Phl-P","P","P","P","Phl","Phl",1,1,1.12785
"P159","Poa-F","Poa-F","P","F","F","Poa","Poa",1,1,1.2016
"P160","Poa-P","Poa-P","P","P","P","Poa","Poa",1,1,3.16505
"P161","Des-F","Des-F","P","F","F","Des","Des",1,1,2.458
